TransactionID,CustomerID,Date,ProductID,Price,Qty,TotalAmount,StoreID,Age,Gender,Marital Status,Income,StoreName,GroupStore,Type,Latitude,Longitude,Product Name
TR23169,189,2022-01-07,P1,8800,7,61600,7,59,1,Single,5.15,Buana Indah,Buana,General Trade,3.316694,114.590111,Choco Bar
TR28506,230,2022-01-07,P9,10000,3,30000,12,40,1,Married,4.32,Prestasi Utama,Prestasi,General Trade,-2.990934,104.756554,Yoghurt
TR31932,70,2022-01-07,P9,10000,4,40000,7,30,1,Married,4.42,Buana Indah,Buana,General Trade,3.316694,114.590111,Yoghurt
TR38873,311,2022-01-07,P2,3200,6,19200,5,61,1,Married,7.64,Bonafid,Gita,General Trade,-7.250445,112.768845,Ginger Candy 
TR43744,233,2022-01-07,P2,3200,6,19200,8,43,1,Married,5.69,Sinar Harapan,Harapan Baru,General Trade,5.54829,95.323753,Ginger Candy 
TR60853,74,2022-01-07,P2,3200,3,9600,6,3,1,Married,5.09,Lingga,Lingga,Modern Trade,-5.135399,119.42379,Ginger Candy 
TR73336,399,2022-01-07,P8,16000,3,48000,10,52,1,Single,33.77,Harapan Baru,Harapan Baru,General Trade,3.597031,98.678513,Oat
TR74427,43,2022-01-07,P8,16000,2,32000,3,53,0,Married,16.64,Prima Kota,Prima,Modern Trade,-7.797068,110.370529,Oat
TR23772,156,2022-01-08,P10,15000,1,15000,1,44,0,Married,3.87,Prima Tendean,Prima,Modern Trade,-6.2,106.816666,Cheese Stick
TR36287,157,2022-01-08,P7,9400,2,18800,2,44,0,Single,2.52,Prima Kelapa Dua,Prima,Modern Trade,-6.914864,107.608238,Coffee Candy
TR40790,134,2022-01-08,P7,9400,4,37600,8,50,0,Married,18.62,Sinar Harapan,Harapan Baru,General Trade,5.54829,95.323753,Coffee Candy
TR4331,335,2022-01-08,P3,7500,3,22500,12,29,1,Single,4.74,Prestasi Utama,Prestasi,General Trade,-2.990934,104.756554,Crackers
TR43444,240,2022-01-08,P4,12000,5,60000,2,22,1,Single,3.33,Prima Kelapa Dua,Prima,Modern Trade,-6.914864,107.608238,Potato Chip
TR55617,9,2022-01-08,P7,9400,5,47000,9,33,0,Married,9.92,Lingga,Lingga,Modern Trade,-3.654703,128.190643,Coffee Candy
TR57273,344,2022-01-08,P4,12000,1,12000,10,47,1,Married,5.63,Harapan Baru,Harapan Baru,General Trade,3.597031,98.678513,Potato Chip
TR648,164,2022-01-08,P5,4200,3,12600,5,18,1,Single,0.0,Bonafid,Gita,General Trade,-7.250445,112.768845,Thai Tea
TR65337,12,2022-01-08,P5,4200,3,12600,3,2,1,Married,4.94,Prima Kota,Prima,Modern Trade,-7.797068,110.370529,Thai Tea
TR6602,211,2022-01-08,P8,16000,2,32000,5,29,0,Married,3.54,Bonafid,Gita,General Trade,-7.250445,112.768845,Oat
TR67501,85,2022-01-08,P4,12000,3,36000,13,59,1,Married,7.89,Buana,Buana,General Trade,-1.26916,116.825264,Potato Chip
TR70157,415,2022-01-08,P8,16000,2,32000,4,44,0,Married,18.57,Gita Ginara,Gita,General Trade,-6.966667,110.416664,Oat
TR84962,55,2022-01-08,P3,7500,5,37500,7,34,1,Married,8.44,Buana Indah,Buana,General Trade,3.316694,114.590111,Crackers
TR89167,69,2022-01-08,P1,8800,5,44000,10,26,0,Single,2.84,Harapan Baru,Harapan Baru,General Trade,3.597031,98.678513,Choco Bar
TR90471,162,2022-01-08,P3,7500,3,22500,3,49,0,Married,11.46,Prima Kota,Prima,Modern Trade,-7.797068,110.370529,Crackers
TR14091,307,2022-01-09,P1,8800,5,44000,11,31,0,Married,5.22,Sinar Harapan,Prestasi,General Trade,0.533505,101.447403,Choco Bar
TR28270,140,2022-01-09,P2,3200,7,22400,3,54,0,Married,9.57,Prima Kota,Prima,Modern Trade,-7.797068,110.370529,Ginger Candy 
TR48974,170,2022-01-09,P10,15000,1,15000,9,36,0,Married,7.55,Lingga,Lingga,Modern Trade,-3.654703,128.190643,Cheese Stick
TR52493,354,2022-01-09,P8,16000,1,16000,11,53,1,Married,16.94,Sinar Harapan,Prestasi,General Trade,0.533505,101.447403,Oat
TR52613,135,2022-01-09,P5,4200,3,12600,9,41,0,Married,3.28,Lingga,Lingga,Modern Trade,-3.654703,128.190643,Thai Tea
TR53447,137,2022-01-09,P2,3200,4,12800,5,34,1,Married,6.36,Bonafid,Gita,General Trade,-7.250445,112.768845,Ginger Candy 
TR5513,62,2022-01-09,P4,12000,4,48000,2,51,1,Married,13.62,Prima Kelapa Dua,Prima,Modern Trade,-6.914864,107.608238,Potato Chip
TR76965,241,2022-01-09,P1,8800,8,70400,3,24,1,Single,0.57,Prima Kota,Prima,Modern Trade,-7.797068,110.370529,Choco Bar
TR80326,269,2022-01-09,P8,16000,1,16000,2,39,1,Married,6.3,Prima Kelapa Dua,Prima,Modern Trade,-6.914864,107.608238,Oat
TR858,340,2022-01-09,P8,16000,2,32000,14,41,0,Single,10.9,Priangan,Priangan,Modern Trade,-5.45,105.26667,Oat
TR8878,415,2022-01-09,P5,4200,3,12600,9,44,0,Married,18.57,Lingga,Lingga,Modern Trade,-3.654703,128.190643,Thai Tea
TR89449,178,2022-01-09,P5,4200,2,8400,11,43,0,Married,9.58,Sinar Harapan,Prestasi,General Trade,0.533505,101.447403,Thai Tea
TR91332,385,2022-01-09,P9,10000,1,10000,10,41,1,Married,15.84,Harapan Baru,Harapan Baru,General Trade,3.597031,98.678513,Yoghurt
TR91669,241,2022-01-09,P5,4200,5,21000,2,24,1,Single,0.57,Prima Kelapa Dua,Prima,Modern Trade,-6.914864,107.608238,Thai Tea
TR3291,13,2022-01-10,P4,12000,5,60000,14,23,0,Single,2.03,Priangan,Priangan,Modern Trade,-5.45,105.26667,Potato Chip
TR45059,17,2022-01-10,P1,8800,6,52800,9,35,0,Married,3.14,Lingga,Lingga,Modern Trade,-3.654703,128.190643,Choco Bar
TR47932,122,2022-01-10,P7,9400,3,28200,7,26,1,Single,0.14,Buana Indah,Buana,General Trade,3.316694,114.590111,Coffee Candy
TR57616,446,2022-01-10,P1,8800,7,61600,2,57,0,Married,7.81,Prima Kelapa Dua,Prima,Modern Trade,-6.914864,107.608238,Choco Bar
TR59952,321,2022-01-10,P4,12000,5,60000,14,45,0,Married,8.03,Priangan,Priangan,Modern Trade,-5.45,105.26667,Potato Chip
TR6445,181,2022-01-10,P3,7500,4,30000,12,33,1,Married,9.94,Prestasi Utama,Prestasi,General Trade,-2.990934,104.756554,Crackers
TR69307,23,2022-01-10,P8,16000,1,16000,1,57,1,Married,12.56,Prima Tendean,Prima,Modern Trade,-6.2,106.816666,Oat
TR69902,108,2022-01-10,P7,9400,2,18800,9,25,0,Single,6.87,Lingga,Lingga,Modern Trade,-3.654703,128.190643,Coffee Candy
TR7250,49,2022-01-10,P1,8800,7,61600,11,44,1,Married,13.48,Sinar Harapan,Prestasi,General Trade,0.533505,101.447403,Choco Bar
TR77811,329,2022-01-10,P10,15000,2,30000,4,19,1,Single,0.0,Gita Ginara,Gita,General Trade,-6.966667,110.416664,Cheese Stick
TR80374,223,2022-01-10,P8,16000,3,48000,10,62,1,Single,5.35,Harapan Baru,Harapan Baru,General Trade,3.597031,98.678513,Oat
TR82224,246,2022-01-10,P2,3200,3,9600,12,40,1,Single,21.81,Prestasi Utama,Prestasi,General Trade,-2.990934,104.756554,Ginger Candy 
TR8236,249,2022-01-10,P2,3200,6,19200,7,47,0,Married,13.34,Buana Indah,Buana,General Trade,3.316694,114.590111,Ginger Candy 
TR8369,64,2022-01-10,P3,7500,1,7500,4,48,1,Married,7.92,Gita Ginara,Gita,General Trade,-6.966667,110.416664,Crackers
TR86436,26,2022-01-10,P10,15000,1,15000,14,45,1,Married,7.83,Priangan,Priangan,Modern Trade,-5.45,105.26667,Cheese Stick
TR88217,442,2022-01-10,P9,10000,1,10000,8,42,1,Married,14.88,Sinar Harapan,Harapan Baru,General Trade,5.54829,95.323753,Yoghurt
TR95284,229,2022-01-10,P2,3200,3,9600,2,32,0,Married,10.17,Prima Kelapa Dua,Prima,Modern Trade,-6.914864,107.608238,Ginger Candy 
TR18566,8,2022-01-11,P3,7500,3,22500,8,37,1,Married,5.49,Sinar Harapan,Harapan Baru,General Trade,5.54829,95.323753,Crackers
TR23232,168,2022-01-11,P2,3200,6,19200,1,27,0,Married,4.88,Prima Tendean,Prima,Modern Trade,-6.2,106.816666,Ginger Candy 
TR36166,256,2022-01-11,P10,15000,5,75000,12,56,0,Married,7.09,Prestasi Utama,Prestasi,General Trade,-2.990934,104.756554,Cheese Stick
TR36685,196,2022-01-11,P2,3200,6,19200,2,34,0,Married,3.17,Prima Kelapa Dua,Prima,Modern Trade,-6.914864,107.608238,Ginger Candy 
TR40960,394,2022-01-11,P6,18000,1,18000,4,50,0,Married,7.19,Gita Ginara,Gita,General Trade,-6.966667,110.416664,Cashew
TR47732,329,2022-01-11,P2,3200,6,19200,4,19,1,Single,0.0,Gita Ginara,Gita,General Trade,-6.966667,110.416664,Ginger Candy 
TR57918,72,2022-01-11,P4,12000,5,60000,6,26,0,Single,1.81,Lingga,Lingga,Modern Trade,-5.135399,119.42379,Potato Chip
TR59286,278,2022-01-11,P7,9400,6,56400,8,31,1,Married,9.76,Sinar Harapan,Harapan Baru,General Trade,5.54829,95.323753,Coffee Candy
TR63021,393,2022-01-11,P8,16000,1,16000,12,22,0,Single,0.0,Prestasi Utama,Prestasi,General Trade,-2.990934,104.756554,Oat
TR64748,232,2022-01-11,P5,4200,4,16800,9,62,0,Married,7.32,Lingga,Lingga,Modern Trade,-3.654703,128.190643,Thai Tea
TR6627,339,2022-01-11,P9,10000,6,60000,10,22,0,Single,2.19,Harapan Baru,Harapan Baru,General Trade,3.597031,98.678513,Yoghurt
TR71791,295,2022-01-11,P7,9400,5,47000,3,34,0,Married,4.78,Prima Kota,Prima,Modern Trade,-7.797068,110.370529,Coffee Candy
TR75052,151,2022-01-11,P3,7500,1,7500,2,42,0,Married,10.38,Prima Kelapa Dua,Prima,Modern Trade,-6.914864,107.608238,Crackers
TR76046,16,2022-01-11,P8,16000,2,32000,1,52,0,Married,11.8,Prima Tendean,Prima,Modern Trade,-6.2,106.816666,Oat
TR84499,312,2022-01-11,P3,7500,3,22500,2,54,0,Married,18.77,Prima Kelapa Dua,Prima,Modern Trade,-6.914864,107.608238,Crackers
TR85582,145,2022-01-11,P5,4200,4,16800,14,37,0,Single,14.59,Priangan,Priangan,Modern Trade,-5.45,105.26667,Thai Tea
TR93692,244,2022-01-11,P5,4200,5,21000,10,21,1,Single,3.64,Harapan Baru,Harapan Baru,General Trade,3.597031,98.678513,Thai Tea
TR94450,213,2022-01-11,P3,7500,6,45000,4,24,1,Single,5.72,Gita Ginara,Gita,General Trade,-6.966667,110.416664,Crackers
TR24515,347,2022-01-12,P10,15000,2,30000,7,26,1,Single,3.69,Buana Indah,Buana,General Trade,3.316694,114.590111,Cheese Stick
TR24817,287,2022-01-12,P3,7500,1,7500,8,36,0,Single,3.7,Sinar Harapan,Harapan Baru,General Trade,5.54829,95.323753,Crackers
TR25833,135,2022-01-12,P2,3200,4,12800,5,41,0,Married,3.28,Bonafid,Gita,General Trade,-7.250445,112.768845,Ginger Candy 
TR28633,201,2022-01-12,P9,10000,6,60000,2,57,0,Married,6.87,Prima Kelapa Dua,Prima,Modern Trade,-6.914864,107.608238,Yoghurt
TR39671,52,2022-01-12,P10,15000,2,30000,7,37,0,Married,3.73,Buana Indah,Buana,General Trade,3.316694,114.590111,Cheese Stick
TR4401,342,2022-01-12,P4,12000,5,60000,3,48,1,Married,13.55,Prima Kota,Prima,Modern Trade,-7.797068,110.370529,Potato Chip
TR49649,154,2022-01-12,P10,15000,1,15000,10,31,0,Married,8.36,Harapan Baru,Harapan Baru,General Trade,3.597031,98.678513,Cheese Stick
TR69772,112,2022-01-12,P8,16000,1,16000,5,31,1,Married,4.44,Bonafid,Gita,General Trade,-7.250445,112.768845,Oat
TR76028,301,2022-01-12,P1,8800,8,70400,4,60,0,Married,8.97,Gita Ginara,Gita,General Trade,-6.966667,110.416664,Choco Bar
TR9420,28,2022-01-12,P8,16000,3,48000,9,55,0,Married,6.08,Lingga,Lingga,Modern Trade,-3.654703,128.190643,Oat
TR94326,167,2022-01-12,P9,10000,2,20000,13,28,1,Married,2.91,Buana,Buana,General Trade,-1.26916,116.825264,Yoghurt
TR17988,112,2022-01-13,P6,18000,1,18000,2,31,1,Married,4.44,Prima Kelapa Dua,Prima,Modern Trade,-6.914864,107.608238,Cashew
TR23621,156,2022-01-13,P7,9400,2,18800,6,44,0,Married,3.87,Lingga,Lingga,Modern Trade,-5.135399,119.42379,Coffee Candy
TR31421,427,2022-01-13,P6,18000,3,54000,2,54,0,Married,16.88,Prima Kelapa Dua,Prima,Modern Trade,-6.914864,107.608238,Cashew
TR33225,286,2022-01-13,P1,8800,3,26400,4,60,0,Married,6.19,Gita Ginara,Gita,General Trade,-6.966667,110.416664,Choco Bar
TR37826,149,2022-01-13,P7,9400,6,56400,6,61,1,Married,3.96,Lingga,Lingga,Modern Trade,-5.135399,119.42379,Coffee Candy
TR48412,275,2022-01-13,P4,12000,2,24000,3,41,0,Married,15.33,Prima Kota,Prima,Modern Trade,-7.797068,110.370529,Potato Chip
TR61271,442,2022-01-13,P1,8800,3,26400,12,42,1,Married,14.88,Prestasi Utama,Prestasi,General Trade,-2.990934,104.756554,Choco Bar
TR75546,34,2022-01-13,P5,4200,4,16800,6,45,0,Married,6.36,Lingga,Lingga,Modern Trade,-5.135399,119.42379,Thai Tea
TR83152,420,2022-01-13,P10,15000,1,15000,10,48,1,Single,6.01,Harapan Baru,Harapan Baru,General Trade,3.597031,98.678513,Cheese Stick
TR97807,324,2022-01-13,P6,18000,3,54000,12,36,1,Married,10.59,Prestasi Utama,Prestasi,General Trade,-2.990934,104.756554,Cashew
TR16701,426,2022-01-14,P4,12000,1,12000,14,19,0,Single,2.16,Priangan,Priangan,Modern Trade,-5.45,105.26667,Potato Chip
